coefficient,method,multiplier,observed_pre_bound,allowed_bias,estimate,original_ci_lower,original_ci_upper,bias_adjusted_ci_lower,bias_adjusted_ci_upper,sign_robust_positive,note
treated_x_acute,smoothness_first_difference,1.5,0.07236539775807975,0.10854809663711962,0.0232915360995832,-0.0260302490315585,0.072613321230725,-0.13457834566867813,0.18116141786784462,False,transparent_relative_violation_analysis_inspired_by_HonestDiD_not_package_identical
treated_x_acute,smoothness_first_difference,2.0,0.07236539775807975,0.1447307955161595,0.0232915360995832,-0.0260302490315585,0.072613321230725,-0.170761044547718,0.2173441167468845,False,transparent_relative_violation_analysis_inspired_by_HonestDiD_not_package_identical
treated_x_consolidated,relative_magnitude,0.0,0.03500702136777,0.0,0.0834855187796752,0.0300576335516655,0.1369134040076848,0.0300576335516655,0.1369134040076848,True,transparent_relative_violation_analysis_inspired_by_HonestDiD_not_package_identical
treated_x_consolidated,relative_magnitude,0.25,0.03500702136777,0.0087517553419425,0.0834855187796752,0.0300576335516655,0.1369134040076848,0.021305878209722996,0.14566515934962732,True,transparent_relative_violation_analysis_inspired_by_HonestDiD_not_package_identical
treated_x_consolidated,relative_magnitude,0.5,0.03500702136777,0.017503510683885,0.0834855187796752,0.0300576335516655,0.1369134040076848,0.012554122867780498,0.15441691469156982,True,transparent_relative_violation_analysis_inspired_by_HonestDiD_not_package_identical
treated_x_consolidated,relative_magnitude,1.0,0.03500702136777,0.03500702136777,0.0834855187796752,0.0300576335516655,0.1369134040076848,-0.004949387816104503,0.17192042537545482,False,transparent_relative_violation_analysis_inspired_by_HonestDiD_not_package_identical
treated_x_consolidated,relative_magnitude,1.5,0.03500702136777,0.052510532051655,0.0834855187796752,0.0300576335516655,0.1369134040076848,-0.0224528984999895,0.18942393605933983,False,transparent_relative_violation_analysis_inspired_by_HonestDiD_not_package_identical
treated_x_consolidated,relative_magnitude,2.0,0.03500702136777,0.07001404273554,0.0834855187796752,0.0300576335516655,0.1369134040076848,-0.039956409183874504,0.20692744674322483,False,transparent_relative_violation_analysis_inspired_by_HonestDiD_not_package_identical
treated_x_consolidated,smoothness_first_difference,0.0,0.18815003417100737,0.0,0.0834855187796752,0.0300576335516655,0.1369134040076848,0.0300576335516655,0.1369134040076848,True,transparent_relative_violation_analysis_inspired_by_HonestDiD_not_package_identical
treated_x_consolidated,smoothness_first_difference,0.25,0.18815003417100737,0.04703750854275184,0.0834855187796752,0.0300576335516655,0.1369134040076848,-0.016979874991086344,0.18395091255043666,False,transparent_relative_violation_analysis_inspired_by_HonestDiD_not_package_identical
treated_x_consolidated,smoothness_first_difference,0.5,0.18815003417100737,0.09407501708550368,0.0834855187796752,0.0300576335516655,0.1369134040076848,-0.06401738353383818,0.2309884210931885,False,transparent_relative_violation_analysis_inspired_by_HonestDiD_not_package_identical
treated_x_consolidated,smoothness_first_difference,1.0,0.18815003417100737,0.18815003417100737,0.0834855187796752,0.0300576335516655,0.1369134040076848,-0.15809240061934188,0.3250634381786922,False,transparent_relative_violation_analysis_inspired_by_HonestDiD_not_package_identical
treated_x_consolidated,smoothness_first_difference,1.5,0.18815003417100737,0.28222505125651104,0.0834855187796752,0.0300576335516655,0.1369134040076848,-0.2521674177048455,0.41913845526419585,False,transparent_relative_violation_analysis_inspired_by_HonestDiD_not_package_identical
treated_x_consolidated,smoothness_first_difference,2.0,0.18815003417100737,0.37630006834201474,0.0834855187796752,0.0300576335516655,0.1369134040076848,-0.3462424347903492,0.5132134723496995,False,transparent_relative_violation_analysis_inspired_by_HonestDiD_not_package_identical
